Model                         ,Accuracy           ,Balanced Accuracy   ,ROC AUC            ,F1 Score           ,Time Taken
SVC                           ,0.7605633802816901 ,0.6581674844258228  ,0.6581674844258227 ,0.7224430673575635 ,0.05318331718444824
LabelPropagation              ,0.7535211267605634 ,0.654060312034842   ,0.654060312034842  ,0.7175091672036576 ,0.09904003143310547
LinearSVC                     ,0.7517605633802817 ,0.653963834831027   ,0.653963834831027  ,0.7170484548086746 ,0.05449795722961426
XGBClassifier                 ,0.7517605633802817 ,0.653963834831027   ,0.653963834831027  ,0.7170484548086746 ,0.09611272811889648
LGBMClassifier                ,0.7517605633802817 ,0.653963834831027   ,0.653963834831027  ,0.7170484548086746 ,0.06820821762084961
CalibratedClassifierCV        ,0.7482394366197183 ,0.6525304592314902  ,0.6525304592314903 ,0.7150708460665165 ,0.14670491218566895
RandomForestClassifier        ,0.7535211267605634 ,0.6515794696510282  ,0.6515794696510282 ,0.7153769995999105 ,0.1969592571258545
ExtraTreesClassifier          ,0.7517605633802817 ,0.6514829924472132  ,0.6514829924472132 ,0.7149622689746395 ,0.16430211067199707
LabelSpreading                ,0.7517605633802817 ,0.6514829924472132  ,0.6514829924472132 ,0.7149622689746395 ,0.1305220127105713
DecisionTreeClassifier        ,0.7482394366197183 ,0.6512900380395832  ,0.6512900380395833 ,0.7140626885844894 ,0.014981269836425781
LogisticRegression            ,0.7464788732394366 ,0.6499531396438614  ,0.6499531396438614 ,0.7125731700663306 ,0.03043508529663086
AdaBoostClassifier            ,0.7482394366197183 ,0.6488091956557693  ,0.6488091956557692 ,0.7119872576517428 ,0.12894511222839355
SGDClassifier                 ,0.7464788732394366 ,0.6462318760681405  ,0.6462318760681405 ,0.7094380005523336 ,0.01669764518737793
NuSVC                         ,0.7447183098591549 ,0.6448949776724185  ,0.6448949776724184 ,0.7079591074091098 ,0.09731626510620117
BaggingClassifier             ,0.7447183098591549 ,0.6436545564805116  ,0.6436545564805116 ,0.7068760922079627 ,0.0405123233795166
NearestCentroid               ,0.7306338028169014 ,0.6404018964661778  ,0.6404018964661778 ,0.701200100008334  ,0.020171165466308594
Perceptron                    ,0.7306338028169014 ,0.6404018964661778  ,0.6404018964661778 ,0.701200100008334  ,0.022696971893310547
RidgeClassifier               ,0.7464788732394366 ,0.6387893489166988  ,0.6387893489166989 ,0.7025957642588937 ,0.018954038619995117
RidgeClassifierCV             ,0.7464788732394366 ,0.6387893489166988  ,0.6387893489166989 ,0.7025957642588937 ,0.015251636505126953
LinearDiscriminantAnalysis    ,0.7447183098591549 ,0.6386928717128838  ,0.6386928717128838 ,0.7023286895358098 ,0.023093223571777344
ExtraTreeClassifier           ,0.7376760563380281 ,0.63582612051381    ,0.63582612051381   ,0.6987899154412858 ,0.014378547668457031
GaussianNB                    ,0.7359154929577465 ,0.635729643309995   ,0.635729643309995  ,0.698440869615205  ,0.02278900146484375
KNeighborsClassifier          ,0.5369718309859155 ,0.6260681404708087  ,0.6260681404708088 ,0.5215541772081234 ,0.03482246398925781
PassiveAggressiveClassifier   ,0.5070422535211268 ,0.6169855008545124  ,0.6169855008545124 ,0.4712684599226815 ,0.015962600708007812
BernoulliNB                   ,0.6936619718309859 ,0.6061249241964827  ,0.6061249241964827 ,0.6658387122966489 ,0.014861106872558594
QuadraticDiscriminantAnalysis ,0.7077464788732394 ,0.6056563206350957  ,0.6056563206350956 ,0.6674791248332597 ,0.014070987701416016
DummyClassifier               ,0.5352112676056338 ,0.48828491096532334 ,0.4882849109653234 ,0.5373937317599289 ,0.013613462448120117
